2015-07-27 00:15:02 : ============================= ATTACK LOG ==============================
2015-07-27 00:15:02 :                    --------  LOOT --------       ----- BONUS ------   
2015-07-27 00:15:02 :  TIME|TROP.|SEARCH|   GOLD| ELIXIR|DARK EL|TR.|S|  GOLD|ELIXIR|  DE|L.
2015-07-27 00:55:31 : 00:55| 1317|     1| 243576| 193362|      0|  9|1|  4000|  4000|   0|S1|
2015-07-27 01:15:56 : 01:15| 1326|    27| 167034| 121297|    127|  6|1|  4000|  4000|   0|S1|
2015-07-28 20:04:10 : ============================= ATTACK LOG ==============================
2015-07-28 20:04:10 :                    --------  LOOT --------       ----- BONUS ------   
2015-07-28 20:04:10 :  TIME|TROP.|SEARCH|   GOLD| ELIXIR|DARK EL|TR.|S|  GOLD|ELIXIR|  DE|L.
2015-07-28 20:19:09 : 20:19| 1324|    27| 308365| 290153|    345|  4|1|  4000|  4000|   0|S1|
2015-07-28 20:35:24 : 20:35| 1328|     3| 257137| 185242|    121| 15|2|  4000|  4000|   0|S1|
2015-07-28 21:04:59 : 21:04| 1343|     5| 268620| 268591|    862| 18|2|  4000|  4000|   0|S1|
2015-07-28 21:22:46 : 21:22| 1361|    81| 109074|  95531|    519| 10|1|  4000|  4000|   0|S1|
2015-07-28 21:43:25 : 21:43| 1371|   106| 153587| 273042|    162|  9|1|  4000|  4000|   0|S1|
2015-07-29 01:18:50 : 01:18| 1389|    30| 172085| 116433|    355| 11|1|  4000|  4000|   0|S1|
2015-07-29 01:37:09 : 01:37| 1400|     1| 166602| 221339|     48| 13|2|  8000|  8000|   0|G3|
2015-07-29 01:56:34 : 01:56| 1413|    15| 229182| 238775|    205| 10|1|  4000|  4000|   0|S1|
2015-07-29 02:17:03 : 02:17| 1199|    42| 272965| 139693|      0| 34|3|  4000|  4000|   0|S1|
2015-07-29 02:34:21 : 02:34| 1233|    19| 299865| 253062|    201|  8|1|  4000|  4000|   0|S1|
2015-07-29 02:53:30 : 02:53| 1241|    29| 171463| 113180|    370|  7|1|  4000|  4000|   0|S1|
2015-07-29 03:17:55 : 03:17| 1248|   102| 205111| 235285|    361|  5|1|  4000|  4000|   0|S1|
2015-07-29 03:39:53 : 03:39| 1253|   140| 215388| 221374|    387| 25|3|  4000|  4000|   0|S1|
2015-07-29 03:53:35 : 03:53| 1278|    72| 226842| 185879|    120| 10|1|  4000|  4000|   0|S1|
2015-07-29 04:13:42 : 04:13| 1288|    85| 201307|  45847|      0| 17|2|  4000|  4000|   0|S1|
2015-07-29 04:26:32 : 04:26| 1305|    12| 196486| 227671|    810|-26|0|     0|     0|   0|--|
2015-07-29 04:45:07 : 04:45| 1279|     8| 370299| 235769|    120| 14|2|  4000|  4000|   0|S1|
2015-07-29 05:03:12 : 05:03| 1293|     1| 145820|  94378|    107| 13|2|  4000|  4000|   0|S1|
2015-07-29 05:34:14 : 05:34| 1306|   164| 229429|  59620|      0|  8|1|  4000|  4000|   0|S1|
2015-07-29 05:41:17 : 05:41| 1314|     9|  90414|  53528|    120|-17|0|     0|     0|   0|--|
2015-07-29 06:00:14 : 06:00| 1297|    12| 193225| 191796|    120|  7|1|  4000|  4000|   0|S1|
2015-07-29 06:18:53 : 06:18| 1304|     8| 193460|  25718|    123|-23|0|     0|     0|   0|--|
2015-07-29 06:39:54 : 06:39| 1281|    21| 235625| 292691|    562| 14|2|  4000|  4000|   0|S1|
2015-07-29 06:56:24 : 06:56| 1295|    12| 109659|  52414|      0|  4|1|  4000|  4000|   0|S1|
2015-07-29 22:16:53 : 22:16| 1299|    37| 100200|  99319|      0|  9|1|  4000|  4000|   0|S1|
2015-07-29 22:45:04 : 22:45| 1321|     5| 282675| 176009|    120|-23|0|     0|     0|   0|--|
2015-07-29 23:12:05 : 23:12| 1298|    23| 227855|  15000|      0| 10|2|  4000|  4000|   0|S1|
2015-07-29 23:39:48 : 23:39| 1308|    46| 344363| 258795|      4| 12|2|  4000|  4000|   0|S1|
2015-07-30 00:07:56 : 00:07| 1320|    77| 125922|  78953|    405|  8|1|  4000|  4000|   0|S1|
2015-07-30 00:33:07 : 00:33| 1328|    77| 276678|   1000|    135| 10|1|  4000|  4000|   0|S1|
2015-07-30 00:55:40 : 00:55| 1338|    32| 378422| 321178|    358| 25|3|  4000|  4000|   0|S1|
2015-07-30 01:19:47 : 01:19| 1363|     6| 249520| 189156|    109| 19|2|  4000|  4000|   0|S1|
2015-07-30 01:45:35 : 01:45| 1382|    14| 160949| 104067|    405|-17|0|     0|     0|   0|--|
2015-07-30 02:10:29 : 02:10| 1365|     5| 207341| 166964|      0|  4|1|  4000|  4000|   0|S1|
2015-07-30 02:36:09 : 02:36| 1369|     1| 229942| 161452|    225|-16|0|     0|     0|   0|--|
2015-07-30 03:01:46 : 03:01| 1353|     3| 370596| 329008|    252| 11|1|  4000|  4000|   0|S1|
2015-07-30 03:29:44 : 03:29| 1364|    34| 180670| 180836|    107| 14|2|  4000|  4000|   0|S1|
2015-07-30 03:53:38 : 03:53| 1378|     4| 295709| 298916|    118| 16|3|  4000|  4000|   0|S1|
2015-07-30 04:29:05 : 04:29| 1394|     6| 115788|  36399|      0|  9|1|  4000|  4000|   0|S1|
2015-07-30 12:20:13 : 12:20| 1419|    69| 131309|  57391|    113|-17|0|     0|     0|   0|--|
2015-07-30 12:48:40 : 12:48| 1402|   107|  85122|  31360|    131|  6|1|  8000|  8000|   0|G3|
2015-07-30 13:24:37 : 13:24| 1408|   206| 233280| 206126|     22|  8|1|  8000|  8000|   0|G3|
2015-07-30 13:34:48 : 13:34| 1416|    15| 260435| 151247|      0|  7|1|  8000|  8000|   0|G3|
2015-07-30 14:03:58 : 14:03| 1423|    52| 244902| 168312|      0|  6|1|  8000|  8000|   0|G3|
2015-07-30 14:28:48 : 14:28| 1429|    52| 263891| 204377|    315|-17|0|     0|     0|   0|--|
2015-07-31 21:08:14 : 21:08| 1503|     4|  47493| 162526|     55| 11|1|     0|     0|   0|--|
2015-07-31 23:50:15 : 23:50| 1514|     4| 182269| 119626|      0|-24|0|     0|     0|   0|--|
